Ticker,Date,Adjusted Close Price,Period Return,Cumulative Return
SPY,2021-03-31,377.954834,0.0529,0.0529
SPY,2021-04-30,397.9526367,0.0291,0.0836
SPY,2021-06-30,409.5492554,0.0549,0.1431
SPY,2021-08-31,432.0330505,-0.0466,0.0898
SPY,2021-09-30,411.8979187,0.0616,0.1569
SPY,2021-11-30,437.2564087,0.0462,0.2104
SPY,2021-12-31,457.4785767,-0.0527,0.1466
SPY,2022-01-31,433.3505249,-0.0295,0.1127
SPY,2022-02-28,420.5592957,0.0376,0.1546
SPY,2022-03-31,436.3683472,-0.0857,0.0556
SPY,2022-05-31,398.9672546,-0.0825,-0.0314
SPY,2022-06-30,366.0682373,0.0475,0.0146
SPY,2022-08-31,383.4667664,-0.0924,-0.0792
SPY,2022-09-30,348.0168762,0.0813,-0.0044
SPY,2022-10-31,376.302063,0.0556,0.051
SPY,2022-11-30,397.221283,0.0016,0.0527
SPY,2023-01-31,397.8707886,-0.0251,0.0262
SPY,2023-02-28,387.8672791,0.0371,0.0643
SPY,2023-03-31,402.2484741,0.0207,0.0863
SPY,2023-05-31,410.5609436,0.0997,0.1945
SPY,2023-07-31,451.4750366,-0.0163,0.1751
SPY,2023-08-31,444.1376648,-0.0681,0.0951
SPY,2023-10-31,413.8859558,0.0913,0.1951
SPY,2023-11-30,451.691864,0.0623,0.2696
SPY,2024-01-31,479.8363342,0.0522,0.3358
SPY,2024-02-29,504.8774719,-0.0089,0.3239
